track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11
st12-jangan_pernah_berubah,pre-chorus,A,III,76.834829932,78.390566893,0.07329676,0.37318397,0.1148758,0.09739759,0.45311925,0.13861448,0.08759703,0.14880838,0.23654452,0.99851453,0.20475231,0.12557074,0.023741337,0.17003557,0.05368365,0.051706742,0.16760874,0.039279945,0.041644584,0.092587076,0.07040023,0.01206828,0.06896515,0.039785296
st12-jangan_pernah_berubah,pre-chorus,Dm,vi,78.390566893,81.478820862,0.070068695,0.13543525,0.60890836,0.11599084,0.21390414,0.16434903,0.121496186,0.16745754,0.22182794,0.9833364,0.15164503,0.110162646,0.031754915,0.05848436,0.21259595,0.068113886,0.09860822,0.09695678,0.072409704,0.15829505,0.21485195,0.07239629,0.09137541,0.06879318
st12-jangan_pernah_berubah,pre-chorus,Am,iii,81.478820862,84.613514739,0.2026563,0.113089,0.08941919,0.112488195,0.545447,0.10288867,0.1075028,0.21654621,0.303112,0.9805865,0.19507456,0.14909567,0.10628707,0.04857096,0.05163311,0.069210194,0.17314564,0.057494927,0.08186889,0.20173766,0.21368982,0.06906596,0.12432401,0.06374765
st12-jangan_pernah_berubah,pre-chorus,Dm,vi,84.613514739,87.771428571,0.08601967,0.16809529,0.75475764,0.116777286,0.16434197,0.17314838,0.11070052,0.13409689,0.18109375,0.92019445,0.13123406,0.087839134,0.045089565,0.07687726,0.22925708,0.04968519,0.06368497,0.06810583,0.058236726,0.11221803,0.11247706,0.14470422,0.0802831,0.052342705
st12-jangan_pernah_berubah,pre-chorus,Gm,ii,87.771428571,89.303945578,0.10150965,0.1417119,0.6519886,0.12630215,0.1560261,0.16692995,0.28976366,0.9739601,0.27477926,0.34927556,0.436553,0.2415538,0.05700057,0.068255976,0.282793,0.05778609,0.071757846,0.08405115,0.1203868,0.064120695,0.15272172,0.14552394,0.23780668,0.094496086
st12-jangan_pernah_berubah,pre-chorus,A,III,89.303945578,90.85968254,0.1277119,0.40241566,0.16758585,0.15714107,0.6392521,0.16504157,0.1398704,0.22063473,0.30725735,0.9828941,0.18444936,0.16867864,0.092199214,0.22584368,0.13619938,0.10563746,0.24716645,0.09827677,0.122925065,0.18098512,0.14964028,0.045741178,0.1319978,0.09800849
st12-jangan_pernah_berubah,pre-chorus,Dm,vi,90.85968254,93.947936508,0.14223029,0.26513007,0.6574527,0.2451731,0.3561515,0.20271988,0.21309063,0.31094426,0.3329208,0.9686145,0.24382354,0.1482855,0.057189584,0.0980864,0.2184116,0.12879159,0.13773707,0.09475703,0.09760162,0.23248953,0.1482668,0.08605011,0.14248352,0.060281336
st12-jangan_pernah_berubah,chorus,Bb,IV,93.947936508,95.480453515,0.28074956,0.17924373,0.4847451,0.22709553,0.2414657,0.7906862,0.24693765,0.19943264,0.26969486,0.3481328,0.95042807,0.32863185,0.13366951,0.095056064,0.25234273,0.10533693,0.11456586,0.19757572,0.12861231,0.10349171,0.16288224,0.16441731,0.08442695,0.12205515
st12-jangan_pernah_berubah,chorus,C,V,95.480453515,96.989750567,0.977195,0.2146121,0.25286132,0.18426922,0.3303251,0.46950153,0.18991286,0.48591632,0.17551851,0.18538459,0.19713582,0.33150157,0.10243767,0.102095164,0.101819985,0.10138991,0.077425286,0.23115918,0.10052428,0.18142857,0.08401079,0.099516355,0.156233,0.10291875
st12-jangan_pernah_berubah,chorus,F,I,96.989750567,100.263764172,0.64081407,0.22831494,0.22197923,0.23405822,0.2473476,0.95962936,0.21046616,0.23803319,0.15287293,0.3869598,0.1503104,0.21550007,0.22703327,0.116588965,0.10685323,0.106636904,0.095115006,0.09833587,0.088212885,0.13859716,0.07106737,0.19241485,0.101278305,0.09610543
st12-jangan_pernah_berubah,chorus,Gm,ii,100.263764172,101.680181406,0.16114803,0.18832779,0.5487248,0.17255914,0.14743459,0.22627331,0.24890734,1.0,0.22018652,0.20942442,0.25318265,0.23316638,0.0793008,0.08341937,0.1442042,0.07493446,0.058939192,0.09595971,0.09585344,0.0,0.09062447,0.08993369,0.10424545,0.08843313
st12-jangan_pernah_berubah,chorus,A,III,101.680181406,103.235918367,0.21204747,0.6622253,0.40835118,0.29028606,0.47035792,0.28663626,0.2482538,0.7349171,0.40418258,0.9048351,0.26642773,0.2635702,0.10995973,0.2116267,0.19110328,0.13826229,0.22180673,0.10608595,0.10596064,0.2384842,0.1776406,0.174953,0.10969421,0.10920354
st12-jangan_pernah_berubah,chorus,Dm,vi,103.235918367,106.370612245,0.17153075,0.2992053,0.9888133,0.2501342,0.24855703,0.23984973,0.1871834,0.47698665,0.24920619,0.6144967,0.1928082,0.15605697,0.071874335,0.14745136,0.054078437,0.10405008,0.14561717,0.1096609,0.088875085,0.21594712,0.12081131,0.1997972,0.08914378,0.07025948
st12-jangan_pernah_berubah,chorus,Bb,IV,106.370612245,107.926349206,0.16417266,0.18588851,0.90575224,0.2179234,0.2015852,0.47499344,0.18276772,0.17532882,0.19000112,0.34075108,0.52083206,0.19652092,0.07055067,0.108916074,0.21557823,0.11333152,0.13839056,0.26910257,0.0902512,0.15903953,0.13577284,0.17032512,0.16750008,0.1167761
st12-jangan_pernah_berubah,chorus,C,V,107.926349206,109.435646259,0.9339383,0.25400084,0.27986133,0.24439144,0.67961043,0.7140454,0.26730776,0.6882398,0.18310231,0.20256376,0.20042527,0.35113946,0.09976909,0.08710386,0.09976776,0.09424075,0.19795227,0.20099099,0.13259698,0.23977546,0.060798835,0.07356416,0.09523304,0.13198581
st12-jangan_pernah_berubah,chorus,F,I,109.435646259,112.593560091,0.547335,0.19804902,0.19150802,0.22184223,0.301949,0.9991435,0.19738932,0.23372762,0.1581896,0.42131814,0.24837163,0.19832611,0.20173162,0.08572749,0.09040445,0.095186,0.1237535,0.0067843893,0.08993876,0.09862413,0.07305399,0.20390917,0.15128028,0.07896747
st12-jangan_pernah_berubah,chorus,Gm,ii,112.593560091,114.195736961,0.22848292,0.27716994,0.7337594,0.24011317,0.24269582,0.3983699,0.32946822,0.93536067,0.25971746,0.31349513,0.38358516,0.32490793,0.12944467,0.15102825,0.23629528,0.1345683,0.13699603,0.23417951,0.13274355,0.12096238,0.10801532,0.15717548,0.20606369,0.11447163
st12-jangan_pernah_berubah,chorus,A,III,114.195736961,115.681814059,0.1674573,0.2781942,0.28694913,0.22581293,0.49347517,0.27139947,0.18914111,0.68723065,0.2983499,0.8711542,0.21400842,0.20439021,0.094214655,0.08538066,0.12086702,0.098144084,0.12721515,0.16440445,0.08058511,0.28647372,0.09878795,0.1954351,0.11809908,0.06238313
